Lutwyche (Brisbane City),7,0,0,0,0,0,0
Lytton (Brisbane City),0,0,0,0,0,0,0
Macgregor (Brisbane City),18,0,0,0,3,0,0
Mackenzie (Brisbane City),7,0,0,0,0,0,0
Mango Hill (Pine Rivers Shire),17,0,0,0,0,0,3
Manly West (Brisbane City),28,0,0,0,0,0,0
Manly (Brisbane City),11,0,0,0,0,0,0
Mansfield (Brisbane City),13,0,0,0,0,0,0
Margate (Redcliffe City),23,0,0,0,7,0,0
Marsden (Logan City),31,0,0,0,5,0,0
McDowall (Brisbane City),13,0,0,0,0,0,0
Meadowbrook (Logan City),7,0,0,0,0,0,0
Middle Park (Brisbane City),7,0,0,0,0,0,0
Milton (Brisbane City),3,0,0,0,0,0,0
Mitchelton (Brisbane City),13,0,0,0,6,0,0
Moores Pocket (Ipswich City),3,0,0,0,0,0,0
Moorooka (Brisbane City),17,0,0,0,5,0,3
Morayfield (Caboolture Shire),51,0,0,0,0,0,0
Morningside (Brisbane City),18,0,0,0,0,0,3
Mount Gravatt East (Brisbane City),33,0,0,0,3,0,0
Mount Gravatt (Brisbane City),7,0,0,0,0,0,3
Mount Ommaney (Brisbane City),6,0,0,0,0,0,0
Mount Warren Park (Gold Coast City),18,0,0,0,3,0,0
Munruben (Beaudesert Shire),9,0,0,0,0,0,0
Murarrie (Brisbane City),12,0,0,0,0,0,0
Murrumba Downs (Pine Rivers Shire),16,0,0,0,0,0,0
Narangba (Caboolture Shire),32,0,0,0,0,0,0
Nathan (Brisbane City),0,0,0,0,0,0,0
New Farm (Brisbane City),21,0,0,0,3,0,0
Newmarket (Brisbane City),3,0,0,0,0,0,0
Newstead (Brisbane City),3,0,0,0,0,0,0
Newtown (Ipswich City),5,0,0,0,0,0,0
Norman Park (Brisbane City),18,0,0,0,0,0,0
North Booval (Ipswich City),5,0,0,0,3,0,0
North Ipswich (Ipswich City),5,0,0,0,0,0,0
North Tivoli (Ipswich City),0,0,0,0,0,0,0
Northgate (Brisbane City),8,0,0,0,0,0,0
Nudgee Beach (Brisbane City),0,0,0,0,0,0,0
Nudgee (Brisbane City),7,0,0,0,0,0,0
Nundah (Brisbane City),26,0,0,0,0,0,0
One Mile (Ipswich City),4,0,0,0,0,0,0
Ormeau Hills (Gold Coast City),6,0,0,0,0,0,0
Ormeau (Gold Coast City),20,0,0,0,0,0,0
Ormiston (Redland Shire),9,0,0,0,0,0,3
Oxley (Brisbane City),17,0,0,0,0,0,0
Paddington (Brisbane City),11,0,0,0,0,0,0
Pallara (Brisbane City),0,0,0,0,0,0,0
Park Ridge South (Beaudesert Shire),7,0,0,0,0,0,0
Park Ridge (Logan City),4,0,0,0,0,0,0
Parkinson (Brisbane City),23,0,0,0,0,0,0
Petrie (Pine Rivers Shire),17,0,0,0,0,0,3
Pimpama (Gold Coast City),5,0,0,0,0,0,0
Pinkenba (Brisbane City),0,0,0,0,0,0,0
Raceview (Ipswich City),17,0,0,0,0,0,0
Ransome (Brisbane City),3,0,0,0,0,0,0
Red Hill (Brisbane City),8,0,0,0,0,0,0
